author,statement,source,date,target
Amy Sherman,"""Breaking: four million Democrat votes just declared fraudulent.""",The Politico News,"February 15, 2018",pants-fire
Allison Graves,"""Fifty seats have already changed hands from the Republicans to the Democrats since Donald Trump was elected.""",Corey Lewandowski,"February 15, 2018",mostly-true
Tom Kertscher,"Says he is ""one of America's leading consumer lawyers.""",Tim Burns,"February 15, 2018",FALSE
W. Gardner,"""There’s a large number of schools in Texas that don’t even offer sex education.""",Andrew White,"• February 14,",half-true
Mica Soellner,"""Russian source behind fake Trump dossier killed in Russian plane crash, Rosatom CFO also dead""",PuppetStringNews.com,"February 14, 2018",pants-fire
Tom Kertscher,"Says Tim Burns and Rebecca Dallet ""have openly criticized laws signed by Governor Walker that they disagree with and are campaigning as activists who will implement their policies from the bench.""",Michael Screnock,"February 14, 2018",half-true
Jon Greenberg,"""The president has been very clear. All forms of abuse, all forms of battery against women are deplorable and disgusting. ... He’s said that multiple times in the past.""",Hogan Gidley,"February 13, 2018",FALSE
Amy Sherman,"In 2005 or 2006 U.S. Sen. Chuck Schumer ""voted for the wall.""",Jim Renacci,"February 13, 2018",half-true
Miriam Valverde,"""There are more immigrants in our country right now than any other time.""",Tucker Carlson,"February 13, 2018",mostly-true
Manuela Tobias,"The ""FBI was actively investigating Hillary Clinton's use of a private email server"" on Sept. 2, 2016.",Matt Gaetz,"February 12, 2018",FALSE
Amy Sherman,"""Obama did in fact unconstitutionally spy on Trump throughout the presidential election.""",Bloggers,"February 12, 2018",FALSE
Amy Sherman,"""Food stamp enrollment drops by four million in one month.""",Breitbart,"February 12, 2018",mostly-true
Amy Sherman,"Says Donald Trump is ""canceling funding for Obama’s free house and library.""",The Patriot Report,"February 12, 2018",pants-fire
Miriam Valverde,"In Georgia, ""25 percent of rural residents"" are ""without access to high speed internet.""",Brian Kemp,"February 12, 2018",TRUE
Kiannah Sepeda-Miller,"""Rauner made you pay for abortions in all nine months of pregnancy.""",Jeanne Ives,"February 12, 2018",FALSE
Louis Jacobson,"""George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so.""",Rand Paul,"February 9, 2018",mostly-true
Manuela Tobias,"""Heitkamp has voted against Trump 68 percent of time.""",National Republican Senatorial Committee,"February 9, 2018",barely-true
Allison Graves,"""Richard Corcoran has a plan to divert even more of our tax dollars to unaccountable private schools.""",Florida Education Association,"February 9, 2018",half-true
D.L. Davis,"""The past president (Barack Obama) brought Al Sharpton into the White House something like 80 times.""",Glenn Grothman,"February 9, 2018",TRUE
Paul Specht,"The UNC athletic director’s $705,000 salary was ""not at market. Not even close.""",Chapel Hill,"February 8, 2018",mostly-true
Mica Soellner,"""The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working.""",Donald Trump,"February 8, 2018",barely-true
Amy Sherman,"""Smoking in cars with children is illegal starting January 30, 2018.""",LoveThisPic.com,"February 8, 2018",FALSE
Amy Sherman,"""Just in: 45 states just banned Sharia law""",Bloggers,"February 8, 2018",pants-fire
Chris Nichols,"""Californians are overwhelmingly against this concept of the illegal sanctuary state.""",Travis Allen,"February 7, 2018",FALSE
Miriam Valverde,"Many gang members have taken advantage of ""glaring loopholes and our laws to enter the country as illegal, unaccompanied, alien minors.""",Donald Trump,"February 7, 2018",half-true
Allison Graves,"""Violent crime in Puerto Rico is on the rise as nearly one-third of the island remains without power.""",Bill Nelson,"February 7, 2018",half-true
Amy Sherman,"""First NFL team declares bankruptcy over kneeling thugs.""",Bloggers,"February 7, 2018",pants-fire
Louis Jacobson,"At the State of the Union address, Democrats, ""even on positive news … were like death and un-American. Un-American. Somebody said, ‘treasonous.’ I mean, yeah, I guess, why not? Can we call that treason? Why not?""",Donald Trump,"February 6, 2018",pants-fire
Amy Sherman,"""If the Dow Joans ever falls more than 1000 ‘points’ in a Single Day the sitting president should be 'loaded' into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses!""",Tweets,"February 6, 2018",pants-fire
Manuela Tobias,"""Heitkamp High-Fives Schumer After Voting Against 20-Week Abortion Ban.""",Say Anything Blog,"February 6, 2018",FALSE
Amy Sherman,"Says Mike DeWine ""interfered with and stifled"" a sexual harassment investigation and then ""eliminated the office that investigated harassment claims within the AG’s office.""",Ohio Democratic Party,"February 6, 2018",barely-true
Kiannah Sepeda-Miller,"""There was no requirement to put in affordable housing.""",Chris Kennedy,"February 6, 2018",TRUE
Tom Kertscher,"""We invested"" in our transportation system ""$24 billion over eight years. That’s $3 billion more than what former Governor Jim Doyle spent on transportation over the same period of time.""",Scott Walker,"February 6, 2018",barely-true
Louis Jacobson,"Says the Steele dossier ""was—according to (James Comey's) June 2017 testimony—'salacious and unverified.' """,Devin Nunes,"February 5, 2018",half-true
Chris Nichols,"""Trump’s tax reform plan was nothing more than a middle-class tax increase.""",Phil Ting,"February 5, 2018",FALSE
Amy Sherman,"Says that singer Dolly Parton said, ""Trump in one year is already better than 16 years of Bush, Obama put together.""",Americanproud.info,"February 5, 2018",pants-fire
W. Gardner,Says the Texas Department of Agriculture didn’t notify over 700 Texas students about a computer hack releasing critical personal information including Social Security numbers until 32 days after the breach.,Trey Blocker,"• February 5,",barely-true
Miriam Valverde,"Georgia ""has the lowest minimum wage in the country.""",Stacey Evans,"February 5, 2018",mostly-true
Paul Specht,"""100% of heroin/fentanyl epidemic is because we don't have a WALL.""",Ann Coulter,"February 2, 2018",pants-fire
Allison Graves,"""Incredibly, some Tallahassee politicians want to make Florida a sanctuary state.""",Richard Corcoran,"February 2, 2018",half-true
Amy Sherman,"""NFL lawyer, who claimed Super Bowl is ‘rigged’, found dead.""",Eco News,"February 2, 2018",pants-fire
Manuela Tobias,"""Instead of two for one, we have cut 22 burdensome regulations for everyone new rule.""",Donald Trump,"February 2, 2018",barely-true
Jon Greenberg,"Under President Barack Obama: 4 million jobs lost, unemployment rose from 7.8% to 9.9%, the S&P 500 was 1,115.1 and the GDP went down 2.8%.",Markwayne Mullin,"February 2, 2018",half-true
Louis Jacobson,"""Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.""",Donald Trump,"February 2, 2018",half-true
Brett Chase,"""I have introduced balanced budgets every year that I’ve been governor.""",Bruce Rauner,"February 2, 2018",pants-fire
Tom Kertscher,"About 1.1 million people legally enter the U.S. each year as permanent residents -- ""65 percent of that is some kind of chain migration; 22 percent is diversity lottery, ‘asyling,’ refugees; only about 14, 15 percent has anything to do with work.""",Ron Johnson,"February 2, 2018",half-true
Manuela Tobias,"""45.6 million people watched (the State of the Union), the highest number in history. @FoxNews beat every other Network, for the first time ever, with 11.7 million people tuning in.""",Donald Trump,"February 1, 2018",barely-true
W. Gardner,"""Texas is home to more feral pigs than any other state — an estimated 50 percent to 75 percent of all feral swine in the nation.""",Southwest Farm Press,"• February 1,",half-true
Amy Sherman,"Democrats ""booed families of children murdered by MS13.""",CSC Mediagroup.USA,"February 1, 2018",pants-fire
Amy Sherman,"""Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union.""",USA Trainnews,"February 1, 2018",TRUE
Amy Sherman,"""Fall River, Massachusetts was not 'built by immigrants.' """,Breitbart,"February 1, 2018",FALSE
Dan Clark,"""New York consistently ranks as one of the worst voting turnout states in the nation.""",Andrea Stewart-Cousins,"February 1, 2018",TRUE
Dan Clark,"""New York has the third lowest rate of gun-caused death in America.""",Brian Kavanagh,"February 1, 2018",TRUE
Dan Clark,"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",Robert Mujica,"February 1, 2018",TRUE
John Kruzel,"""We have the highest graduation rate of basketball players in the history of the NCAA. We have the highest graduation rate of African-American basketball players in the history of the NCAA in basketball.""",John Calipari,"February 1, 2018",barely-true
Allison Graves,"""There were slaves in 1845 who helped construct and build the Old Capitol.""",Kionne McGhee,"February 1, 2018",mostly-true
Jon Greenberg,"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",Donald Trump,"January 31, 2018",half-true
Miriam Valverde,"""A single immigrant can bring in unlimited numbers of distant relatives.""",Donald Trump,"January 31, 2018",barely-true
Tom Kertscher,"Says Paul Soglin took Madison backward -- ""businesses have left and murders have gone up.""",Scott Walker,"January 31, 2018",barely-true
John Kruzel,"""Top CEOs (are) making 300 times the average worker.""",Joe Kennedy,"January 31, 2018",mostly-true
Allison Graves,"""In the past, we have foolishly released hundreds and hundreds of dangerous terrorists, only to meet them again on the battlefield — including the ISIS leader, al-Baghdadi, who we captured, who we had, who we released.""",Donald Trump,"January 31, 2018",barely-true
Jon Greenberg,"""We are now, very proudly, an exporter of energy to the world.""",Donald Trump,"January 31, 2018",barely-true
Jon Greenberg,"Says one year later, ""the coalition to defeat ISIS has liberated very close to 100 percent of the territory just recently held by these killers in Iraq and Syria.""",Donald Trump,"January 30, 2018",mostly-true
Louis Jacobson,"""Small business confidence is at an all-time high.""",Donald Trump,"January 30, 2018",TRUE
John Kruzel,"""America is a nation of builders. We built the Empire State Building in just one year. Isn’t it a disgrace that it can now take 10 years just to get a minor permit approved for the building of a simple road?""",Donald Trump,"January 30, 2018",half-true
Louis Jacobson,"""After years of wage stagnation, we are finally seeing rising wages.""",Donald Trump,"January 30, 2018",barely-true
Miriam Valverde,"The immigration visa lottery ""randomly hands out green cards without any regard for skill, merit, or the safety of American people.""",Donald Trump,"January 30, 2018",FALSE
Amy Sherman,"""Since we passed tax cuts, over 3 million workers have gotten tax cut bonuses — many of them thousands and thousands of dollars.""",Donald Trump,"January 30, 2018",mostly-true
Louis Jacobson,"""We enacted the biggest tax cuts and reforms in American history.""",Donald Trump,"January 30, 2018",FALSE
Louis Jacobson,"""Because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!""",Donald Trump,"January 30, 2018",half-true
Amy Sherman,"On taxes, ""if you go back and look 50 years ago, individuals paid about 7 percent of the total and corporations paid 5 percent. Fast forward 50 years: individuals still 7 percent, corporations (are) down to 2 percent.""",Richard Cordray,"January 30, 2018",mostly-true
Bob Secter,"""No private business was conducted on public property. That issue is a contract dispute.""",Bruce Rauner,"January 29, 2018",FALSE
Jon Greenberg,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",Donald Trump,"January 29, 2018",pants-fire
Manuela Tobias,"""We have right now, … in the state of California, 55 percent of all immigrants are on public assistance.""",Steve Cortes,"January 29, 2018",half-true
Amy Sherman,"""Haiti official getting ready to testify against Clinton Foundation corruption next week found dead with gunshot to the head.""",US Political News,"January 26, 2018",pants-fire
Miriam Valverde,"""They found 60 votes in the Senate in 2006 and 2013"" for immigration legislation, and ""each time the House Republican majority refused to take it up.""",Ronald Brownstein,"January 26, 2018",TRUE
Jon Greenberg,"Work requirements ""have been proven to help impoverished families move from dependency to self-sufficiency.""",Heartland Institute,"January 26, 2018",barely-true
Brett Chase,"Says President Barack Obama advocated ""fathers in the home"" as the solution to gun violence.",Jeanne Ives,"January 26, 2018",FALSE
D.L. Davis,"""Road projects across the state are staying on track or getting done sooner thanks to the good work of the team at the Wisconsin Department of Transportation.""",Scott Walker,"January 26, 2018",barely-true
Chris Nichols,"California’s prisons budget in 1970 ""was about 3 percent of the general fund. Now, it’s 8.9 percent, about $12 billion.""",Jerry Brown,"January 25, 2018",TRUE
Louis Jacobson,"""No state generates as much solar power as California, or has as many people whose jobs depend on it.""",Kamala Harris,"January 25, 2018",mostly-true
W. Gardner,"Says Texas schools are ranked ""43rd in the nation.""",Andrew White,"• January 25,",mostly-true
W. Gardner,"Says ""566,000 crimes"" were ""made in Texas by criminal aliens in the last 6 years.""",Dan Patrick,"• January 25,",pants-fire
Allison Graves,"In one year, the United Nations ""did 24 resolutions and 20 of them were against Israel.""",Ron DeSantis,"January 25, 2018",FALSE
Chris Nichols,"""California To Register Illegal Aliens To Vote – Automatically.""",WorldNetDaily,"January 24, 2018",pants-fire
Amy Sherman,"""Mueller will be forced to resign over Pelosi affair.""",The Patriot Report,"January 24, 2018",pants-fire
Amy Sherman,"""82-year-old who killed a Muslim in self-defense gets the death penalty.""",The Patriot Report,"January 24, 2018",pants-fire
Miriam Valverde,"Says ""22 to 24 people"" came into the United States due to family connection with suspect in the October 2017 New York City terror attack.",Donald Trump,"January 24, 2018",FALSE
Manuela Tobias,"Mexico is ""now rated the number one most dangerous country in the world.""",Donald Trump,"January 24, 2018",barely-true
Louis Jacobson,"Reauthorizing the Children’s Health Insurance Program ""for six years saves $1 billion"" and doing it for 10 years saves $6 billion.",Nancy Pelosi,"January 24, 2018",TRUE
Jon Greenberg,"Says under her leadership, ""Democrats fought to ... make sure the (2011 HOPE) bill ... prevented the use of ACT/SAT testing standards.""",Stacey Abrams,"January 24, 2018",half-true
Amy Sherman,"""Bill Clinton’s hitman confesses on his deathbed.""",The Patriot Report,"January 23, 2018",pants-fire
Amy Sherman,"""When we say ‘one vote matters,’ it’s not just a saying – it has proven true 141 times in #Ohio over the last five years.""",Jon Husted,"January 23, 2018",TRUE
Miriam Valverde,"""Current immigration policy imposes as much as $300 billion annually in net fiscal costs on U.S. taxpayers.""",Donald Trump,"January 23, 2018",half-true
Louis Jacobson,"""I have consistently opposed shutdowns.""",Ted Cruz,"January 22, 2018",pants-fire
Mica Soellner,"""Soros, Obama and the Dems Ordered the Shutdown to Stage a Coup""",Reaganwasright,"January 22, 2018",pants-fire
W. Gardner,"Says border fencing finished near El Paso in 2010 dramatically curtailed illegal crossings, local crime and drug smuggling.",Paul Sperry,"• January 22,",half-true
Manuela Tobias,"Says Evan Jenkins was Sen. Joe Manchin’s ""spokesperson. It’s true!""",Patrick Morrisey,"January 22, 2018",barely-true
John Kruzel,"Says Donald Trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians.""",Jeff Flake,"January 22, 2018",TRUE
Kiannah Sepeda-Miller,"""Chicago now has the highest employment in the private sector in the history of the city.""",Rahm Emanuel,"January 22, 2018",FALSE
Tom Kertscher,"Under ""his own legislation,"" Donald Trump's ""own family would not have been allowed into the country.""",Randy Bryce,"January 19, 2018",half-true
Amy Sherman,"""In American history since 9/11, we've had 85 major attacks in our country, 73 percent of them have been by white nationalist hate groups.""",Cory Booker,"January 18, 2018",half-true
Jon Greenberg,"""Chrysler is leaving Mexico and moving back to Michigan.""",Donald Trump,"January 18, 2018",half-true
Louis Jacobson,"In a government shutdown, ""what they are really doing is shutting down our military.""",Donald Trump,"January 17, 2018",barely-true
Chris Nichols,"California is 41st in the nation in per pupil K-12 spending, but ""No. 1 in per prisoner"" spending.",Delaine Eastin,"January 17, 2018",mostly-true
W. Gardner,"""Fifty percent of our new"" Texas ""teachers don’t have college degrees.""",Andrew White,"• January 17,",FALSE
Dan Clark,"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""",Andrew Cuomo,"January 17, 2018",FALSE
Dan Clark,"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,"January 17, 2018",mostly-true
Dan Clark,"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,"January 17, 2018",TRUE
Jon Greenberg,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,"January 17, 2018",FALSE
Tom Kertscher,"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,"January 17, 2018",mostly-true
Louis Jacobson,"The Republicans and President Donald Trump ""passed a tax bill that gave 80 percent of its benefits to the top 1 percent.""",Democratic National Committee,"January 16, 2018",half-true
Louis Jacobson,"""In Trump’s first year as president, job growth slowed to a six-year low.""",Democratic National Committee,"January 16, 2018",half-true
Amy Sherman,"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,"January 16, 2018",FALSE
Brett Chase,"""The Legionella bacteria is in most water systems in Illinois.""",Bruce Rauner,"January 16, 2018",half-true
W. Gardner,"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,"• January 12,",FALSE
Jon Greenberg,"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,"January 12, 2018",barely-true
Jon Greenberg,"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,"January 12, 2018",mostly-true
Allison Graves,"""In Congress, @RonDeSantisFL was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling.""",Gwen Graham,"January 12, 2018",half-true
Tom Kertscher,"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,"January 12, 2018",mostly-true
John Kruzel,"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,"January 11, 2018",TRUE
Paul Specht,"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,"January 10, 2018",barely-true
Amy Sherman,On expanding offshore oil drilling,Rick Scott,"January 10, 2018",full-flop
W. Gardner,On requiring young people to perform national service.,Beto O'Rourke,"• January 10,",full-flop
Jasper Scherer,"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",Julián Castro,"January 10, 2018",mostly-true
Tom Kertscher,"""Come February (2018), Americans will see their paychecks grow at the tune of saving $1,000 or more a year.""",Kayleigh McEnany,"January 10, 2018",half-true
Jon Greenberg,"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",Donald Trump,"January 9, 2018",barely-true
Chris Nichols,"""Seventy four percent of Californians are absolutely against sanctuary state"" policies.",Travis Allen,"January 9, 2018",FALSE
Miriam Valverde,"Democratic lawmakers who voted in favor of short-term spending bills ""just voted to deport Dreamers.""",Credo Action,"January 9, 2018",FALSE
Amy Sherman,"""Hollywood celebs: We will go on ‘total strike’ if Trump does not resign.""",Nourtey,"January 9, 2018",FALSE
Amy Sherman,"""Queen Elizabeth removes Obamas from royal wedding guest list.""",America Today,"January 8, 2018",pants-fire
Louis Jacobson,"The Dow Jones Industrial Average ""jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history.""",Donald Trump,"January 8, 2018",TRUE
Amy Sherman,"""Delta Force raids Obama stronghold in Thailand.""",Someonesbones,"January 8, 2018",pants-fire
Louis Jacobson,"""African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!""",Donald Trump,"January 8, 2018",mostly-true
John Kruzel,"""I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spoke to him for book.""",Donald Trump,"January 5, 2018",FALSE
Jon Greenberg,"""White House staff compiled a number of gorilla documentaries into a makeshift gorilla channel"" for President Donald Trump.",Tweets,"January 5, 2018",pants-fire
Allison Graves,"Says James Comey suggested and CNN reported that the basis of the wiretapping warrant for Trump adviser Carter Page was ""all based on a dossier.""",Elizabeth Foley,"January 5, 2018",barely-true
W. Gardner,"""Every taxpayer, their taxes are going down, except rich people in Manhattan and San Francisco. Some of them, their taxes may go up.""",Ted Cruz,"• January 5,",half-true
Dan Clark,"""New York state spends more than $8 billion in taxpayer money each year on job-creation programs - more than the combined total of the next three largest states""",Brian Kolb,"January 5, 2018",half-true
Amy Sherman,"""Mostly Democrat states refused to hand over data"" that could show election fraud.",Donald Trump,"January 5, 2018",half-true
Amy Sherman,"""Breaking: FBI just raided the White House, 6 people thrown out.""",New Century Times,"January 5, 2018",FALSE
Amy Sherman,"""Trump: police officers and firefighters make too much money…hits them with tax penalty.""",Bluedot Daily,"January 5, 2018",FALSE
Jon Greenberg,On rescinding Obama-era marijuana enforcement guidelines.,Jeff Sessions,"January 5, 2018",no-flip
Tom Kertscher,"Says Hillary Clinton once said ""the average Democrat voter is just plain stupid, they’re easy to manipulate.""",David A. Clarke Jr.,"January 5, 2018",pants-fire
Louis Jacobson,"There is ""substantial evidence of voter fraud.""",Donald Trump,"January 4, 2018",FALSE
Amy Sherman,"Says Sandra Bullock said to Hillary Clinton, ""If you don’t like our president you can leave and never come back again.""",Flash 24 Daily,"January 4, 2018",pants-fire
Paul Specht,"""Death penalty opponents like Roy Cooper and Josh Stein have imposed a de-facto moratorium on capital punishment.""",Phil Berger,"January 3, 2018",barely-true
Louis Jacobson,"The new tax law is ""kicking the American economy into high gear with $5.5 trillion in tax cuts.""",Donald Trump,"January 3, 2018",barely-true
Louis Jacobson,"The Senate seat won in a special election by a Democrat had been ""held for more than thirty years by Republicans.""",Donald Trump,"January 3, 2018",FALSE
Amy Sherman,"""Trump vows to end winter heating assistance for elderly and disabled.""",Democrats Rising,"January 3, 2018",barely-true
Amy Sherman,"Says Shaquille O’Neal said Donald Trump ""is possibly the best president.""",Pro Conservative News,"January 3, 2018",pants-fire
Tom Kertscher,"In Milwaukee, ""murder is up an astonishing 57 percent.""",Jeff Sessions,"January 3, 2018",barely-true
Amy Sherman,"""Police discover meth lab in back room of Alabama Walmart.""",Ufconly,"January 2, 2018",pants-fire
Chris Nichols,"Said Dianne Feinstein said ""there is no collusion"" between the Trump campaign and Russia.",Donald Trump,"January 2, 2018",FALSE
Amy Sherman,"""World’s most popular candy to be removed from shelves by December 2017.""",Musclecarusa.info,"January 2, 2018",pants-fire
Amy Sherman,"""Pier 39 terrorist was an anti-Trump antifa supporter.""",Infowars,"December 29, 2017",half-true
Matt Dietrich,"""(Fritz) Kaegi managed a fund that invested nearly $30 million in private prisons.""",Joe Berrios,"December 29, 2017",barely-true
Louis Jacobson,"""We have signed more legislation than anybody. We broke the record of Harry Truman.""",Donald Trump,"December 29, 2017",FALSE
Amy Sherman,"""Breaking: Sasha Obama just crashed her expensive new car into a lake.""",defense-usa.site,"December 28, 2017",pants-fire
Amy Sherman,"""Julia Roberts claims ‘Michelle Obama isn’t fit to clean Melania’s toilet’ """,USA Daily Portal,"December 28, 2017",pants-fire
Louis Jacobson,"After enactment of the Republican tax bill, ""school teachers can no longer deduct the cost of their classroom supplies on their taxes.""",Jenna Fischer,"December 27, 2017",FALSE
Amy Sherman,"""Roy Moore takes the military vote, pulls ahead by 5,000 votes""",defense-usa,"December 27, 2017",pants-fire
Katelyn Brown,"""We've seen funding increases for schools. We haven't seen a corresponding performance increase.""",Parker Briden,"December 26, 2017",barely-true
Emily Sanderson,"""The average life expectancy for African Americans in Saint Louis and Saint Louis County varies by as much as 18 years compared to the white population, with nearly half of all African-American kids under the age of 18 living in poverty.""",Cora Faith Walker,"December 24, 2017",mostly-true
Emma Diltz,"""Check out the record of #jobs created by #TaxCuts 7.8 million new jobs after Bush’s 2003 tax cuts 12 million new jobs after Kennedy's 1964 tax cuts 14.8 MILLION new jobs after Ronald Reagan’s tax cuts in 1981.""",Jason Smith,"December 24, 2017",barely-true
Tateanna McCaskill,"""Fentanyl is now killing more Americans than heroin or any other opioid.""",Claire McCaskill,"December 22, 2017",half-true
Dan Clark,"""The truth is this tax [plan] raises middle-class taxes.""",Kirsten Gillibrand,"December 22, 2017",half-true
Tom Kertscher,"Wisconsin's state court agency ""basically"" has rented the same office space across from the Capitol ""since 1974.""",Matt Adamczyk,"December 22, 2017",mostly-true
W. Gardner,Says Texas Department of Public Safety numbers show that 1.6 percent of crime is committed by unauthorized immigrants.,Lupe Valdez,"• December 21,",half-true
W. Gardner,Says the Texas General Land Office led by George P. Bush has repaired just two homes since Hurricane Harvey.,Jerry Patterson,"• December 21,",mostly-true
Louis Jacobson,"In April, ""the vast majority will be (filling out their taxes) on a single postcard.""",Ivanka Trump,"December 21, 2017",FALSE
Dan Clark,"On the Republican tax plan: ""Unfortunately, the wealthy are, again, not going to do well in this bill""",Claudia Tenney,"December 21, 2017",barely-true
Jon Greenberg,"""We essentially repealed Obamacare because we got rid of the individual mandate ... and that was a primary source of funding of Obamacare.""",Donald Trump,"December 21, 2017",FALSE
Miriam Valverde,"Says of the diversity visa lottery program, ""they give us their worst people, they put them in a bin,"" and ""the worst of the worst"" are selected.",Donald Trump,"December 20, 2017",pants-fire
Chris Nichols,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,USA In Front,"December 20, 2017",pants-fire
Amy Sherman,"""Breaking: Muslim New Jersey Mayor just banned the word ‘Christmas.’""",TheLastLineOfDefense.org,"December 20, 2017",pants-fire
Amy Sherman,"""Alabama state police arrest 3 poll workers in Birmingham.""",American Revolution,"December 19, 2017",pants-fire
Amy Sherman,"""Law passed: All child support in the United States will end by beginning of 2018.""",tmzbreaking,"December 19, 2017",pants-fire
Amy Sherman,"""Now it’s official: FDA announced that vaccines are causing autism.""",truthcommand.com,"December 19, 2017",pants-fire
Amy Sherman,"Says Marco Rubio tweeted a verse from the New Testament to shame ""his own constituents for flocking to Trump rally.""",Verified Politics,"December 18, 2017",FALSE
Jon Greenberg,"Says Sen. Mitch McConnell's delay in seating Alabama Sen.-elect Doug Jones ""is a flagrant violation of Senate policy, which requires Jones assume office the instant one of them wins the election.""",Verified Politics,"December 18, 2017",FALSE
Amy Sherman,"""Update: Chuck Schumer’s steamy affair with a high school cheerleader confirmed.""",USA In Front,"December 18, 2017",pants-fire
Tom Kertscher,"The 1986 tax reform approved under Ronald Reagan ""was polling at about 18 percent right before they passed it.""",Paul Ryan,"December 18, 2017",half-true
Miriam Valverde,"""UPDATE: ‘Thousands’ voted for Doug Jones in Alabama town with population of 2,256""",Bloggers,"December 15, 2017",pants-fire
Lucille Sherman,"Missouri is one of ""13 states this year have seen unemployment drop to the lowest levels in the history of their state.""",Donald Trump,"December 15, 2017",FALSE
Patrick Mueller,"""Officials at Hyperloop One have referred to the route as one of the best they've ever seen.""",Patrick McKenna,"December 15, 2017",half-true
Carolina Vargas,"Missouri ""is leading the country when it comes to improving services for mental and behavioral health. Innovation is happening right here.""",Roy Blunt,"December 15, 2017",mostly-true
Miriam Valverde,"Says the Obama administration purged ""training courses and information about Islamism, jihad, Sharia, and the Muslim Brotherhood.""",Scott Perry,"December 15, 2017",half-true
Tom Kertscher,"The House tax plan ""would provide permanent tax cuts for individuals who are multi-millionaires and billionaires,"" but ""all middle-class families will eventually face a tax increase, since tax relief for them expires.""",Gwen Moore,"December 15, 2017",half-true
Chris Nichols,"""This new gas tax does not increase (road) capacity anywhere in the state. It will build no new lanes of freeways. If Californians didn’t like their traffic before, they’re going to like it even less when they’re stuck in the exact same traffic and paying more for their gas.""",Travis Allen,"December 14, 2017",barely-true
Jon Greenberg,"Says there won't be a recount in Alabama because a Democratic judge said ""we're going to erase all the computer files ... on Wednesday morning.""",Alex Jones,"December 14, 2017",pants-fire
Amy Sherman,"""New Jersey police chief says black people ‘have no value’ and should all be executed.""",Truth Examiner,"December 14, 2017",mostly-true
Louis Jacobson,"The House tax bill has ""a lot more permanent relief for middle-income and even lower-income families"" than the Senate bill does.",Carlos Curbelo,"December 14, 2017",mostly-true
Amy Sherman,"""Morgue employee cremated by mistake while taking a nap.""",worldnewsdailyreport.com,"December 14, 2017",pants-fire
John Kruzel,"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,"December 14, 2017",FALSE
Matt Dietrich,"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,"December 14, 2017",barely-true
Tateanna McCaskill,"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,"December 13, 2017",mostly-true
Amy Sherman,"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,"December 13, 2017",pants-fire
Tom Kertscher,"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,"December 13, 2017",pants-fire
